ingredient,risk,function,side_effects
water,Safe,General,No known major side effects
ammonium hydroxide,Safe,General,No known major side effects
soluble collagen,Safe,General,No known major side effects
cetearyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
stearyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
ceteareth-20,Safe,General,No known major side effects
isostearyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
ceteareth-12,Safe,General,No known major side effects
ceteareth-30,Safe,General,No known major side effects
batyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
ppg-11 stearyl ether,Safe,General,No known major side effects
steareth-20,Safe,General,No known major side effects
steareth-2,Safe,General,No known major side effects
ppg-15 stearyl ether,Safe,General,No known major side effects
steareth-100,Safe,General,No known major side effects
steareth-4,Safe,General,No known major side effects
steareth-10,Safe,General,No known major side effects
steareth-6,Safe,General,No known major side effects
ppg-15 stearyl ether benzoate,Safe,General,No known major side effects
isosteareth-20,Safe,General,No known major side effects
methyl gluceth-20 benzoate,Safe,General,No known major side effects
capryloyl salicylic acid,Moderate,Solvent/active,Possible irritation or dryness
octyldodecyl stearoyl stearate,Safe,General,No known major side effects
pentaerythrityl tetraisostearate,Safe,General,No known major side effects
glyceryl stearate se,Safe,General,No known major side effects
polyglyceryl-3 diisostearate,Safe,General,No known major side effects
trihydroxystearin,Safe,General,No known major side effects
steareth-21,Safe,General,No known major side effects
glyceryl stearate citrate,Safe,General,No known major side effects
ceteareth-25,Safe,General,No known major side effects
gelatin,Safe,General,No known major side effects
gelatin crosspolymer,Safe,General,No known major side effects
betaphycus gelatinum extract,Safe,Natural/conditioning,Generally safe
hydrolyzed gelatin,Safe,General,No known major side effects
peg-150 distearate,Moderate,Solvent/active,Possible irritation or dryness
potassium cetyl phosphate,Safe,General,No known major side effects
menthol,Safe,General,No known major side effects
menthyl acetate,Safe,General,No known major side effects
menthyl anthranilate,Safe,General,No known major side effects
polysorbate 80,Safe,General,No known major side effects
polysorbate 61,Safe,General,No known major side effects
snail secretion filtrate,Safe,General,No known major side effects
amodimethicone,Safe,General,No known major side effects
trimethylsiloxyamodimethicone,Safe,General,No known major side effects
bis-hydroxy/methoxy amodimethicone,Safe,General,No known major side effects
peg-7 amodimethicone,Moderate,Solvent/active,Possible irritation or dryness
trimethylsilylamodimethicone,Safe,General,No known major side effects
bis-cetearyl amodimethicone,Safe,General,No known major side effects
amodimethicone/morpholinomethyl silsesquioxane copolymer,Safe,General,No known major side effects
methoxy amodimethicone/silsesquioxane copolymer,Safe,General,No known major side effects
trideceth-9 pg-amodimethicone,Safe,General,No known major side effects
glyceryl oleate,Safe,General,No known major side effects
polyglyceryl-3 polyricinoleate,Safe,General,No known major side effects
polyglyceryl-6 polyricinoleate,Safe,General,No known major side effects
peg-18 glyceryl oleate/cocoate,Moderate,Solvent/active,Possible irritation or dryness
polyglyceryl-10 oleate,Safe,General,No known major side effects
polyglyceryl-2 oleate,Safe,General,No known major side effects
glyceryl linoleate,Safe,General,No known major side effects
triolein,Safe,General,No known major side effects
glyceryl ricinoleate,Safe,General,No known major side effects
polyglyceryl-5 oleate,Safe,General,No known major side effects
pca glyceryl oleate,Safe,General,No known major side effects
adansonia digitata seed extract,Safe,Natural/conditioning,Generally safe
benzyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
phenethyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
t-butyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
